-35,88,37
-37,89,36
-37,91,36
-38,92,35
-38,94,35
-39,97,34
-39,99,33
-41,100,32
-42,102,31
-43,104,29
-32,86,38
-31,82,38
-32,84,38
-34,86,37
-36,87,36
-39,91,35
-40,93,34
-40,95,33
-41,97,32
-42,99,31
-43,100,30
-44,102,29
-44,105,28
-44,107,28
-44,110,28
-42,113,27
-44,112,26
-26,79,40
-29,78,39
-31,79,38
-32,81,38
-33,82,37
-35,84,37
-37,85,36
-38,86,35
-40,88,35
-40,89,34
-41,91,33
-42,93,32
-43,95,31
-43,97,30
-44,99,29
-45,101,28
-45,103,27
-46,105,27
-46,108,26
-45,110,25
-45,112,24
-44,114,23
-25,77,40
-25,76,40
-28,76,39
-30,76,39
-33,79,37
-35,80,37
-36,82,36
-38,83,36
-39,85,35
-41,86,34
-42,88,33
-42,90,32
-43,92,31
-44,94,30
-45,95,29
-45,97,28
-46,99,27
-46,101,26
-47,104,25
-47,106,24
-47,108,24
-47,110,23
-47,112,21
-46,113,20
-46,115,19
-24,73,41
-24,71,41
-25,72,41
-27,73,40
-29,74,39
-31,75,38
-32,76,37
-34,77,37
-36,79,36
-37,80,36
-39,82,35
-40,83,35
-42,85,34
-43,86,33
-44,88,32
-45,90,31
-45,92,29
-46,94,28
-46,96,27
-47,98,26
-47,100,25
-48,102,24
-48,104,23
-48,106,22
-49,108,21
-48,110,20
-48,112,19
-48,113,17
-47,115,16
-24,69,42
-47,117,14
-24,67,42
-25,69,41
-27,70,40
-29,71,40
-30,72,39
-32,73,38
-33,75,37
-35,76,36
-36,77,36
-38,78,35
-40,80,35
-42,81,34
-43,83,34
-44,85,32
-45,87,31
-46,88,30
-46,90,29
-47,92,27
-47,94,26
-48,96,25
-49,98,24
-49,100,23
-49,102,22
-50,104,21
-50,106,19
-50,108,18
-50,110,17
-49,112,16
-49,113,15
-49,115,13
-48,116,12
-26,66,42
-27,67,41
-28,68,40
-30,69,39
-31,71,38
-33,72,37
-34,73,36
-35,74,35
-37,75,35
-39,77,34
-41,78,34
-42,80,33
-44,81,33
-46,83,32
-47,85,31
-47,87,29
-48,89,28
-48,90,26
-49,92,25
-49,94,24
-49,96,22
-50,98,21
-50,100,20
-51,102,19
-51,104,18
-51,106,17
-51,108,15
-51,110,14
-51,112,13
-50,113,11
-50,115,10
-49,116,8
-27,64,41
-28,65,41
-30,66,40
-31,68,39
-32,69,38
-34,70,37
-35,71,35
-36,73,34
-38,74,34
-39,75,33
-41,76,33
-43,78,32
-45,79,31
-46,81,30
-48,83,29
-49,85,28
-49,87,27
-49,89,25
-50,91,24
-50,93,22
-50,94,21
-51,96,20
-51,98,19
-52,100,17
-52,102,16
-52,104,15
-52,106,14
-52,108,12
-52,110,11
-51,112,9
-51,113,8
-50,115,6
-50,116,4
-23,60,43
-25,60,42
-27,61,42
-28,62,41
-30,63,41
-31,65,40
-32,66,39
-34,67,38
-35,68,36
-36,69,35
-37,71,33
-38,72,32
-40,74,31
-41,75,31
-43,76,30
-45,78,30
-47,79,29
-48,81,28
-49,83,27
-50,85,25
-50,87,24
-51,89,22
-51,91,21
-51,93,20
-52,95,18
-52,97,17
-52,99,16
-53,100,15
-53,102,13
-53,104,12
-53,106,10
-53,108,9
-52,110,7
-52,112,6
-51,113,4
-51,115,2
-50,117,0
-49,117,-1
-21,58,43
-24,58,43
-26,58,42
-28,59,42
-29,60,41
-31,61,40
-32,63,40
-34,64,39
-35,65,37
-36,66,36
-37,68,34
-38,69,33
-39,70,31
-40,72,30
-42,73,29
-43,75,29
-45,76,28
-47,78,27
-48,79,26
-49,81,25
-50,83,24
-51,85,22
-52,87,21
-52,89,20
-52,91,18
-53,93,17
-53,95,16
-53,97,14
-53,99,13
-53,101,11
-54,102,10
-54,104,9
-53,106,7
-53,108,5
-53,110,4
-52,112,2
